scenario,variant,run,gitleaks_findings,depcheck_critical,depcheck_high,depcheck_medium,depcheck_low,zap_high,zap_medium,zap_low,zap_info,gate_blocked_expected
scenario-a,1,1,3,0,0,0,0,0,0,0,0,1
scenario-a,1,2,3,0,0,0,0,0,0,0,0,1
scenario-a,1,3,3,0,0,0,0,0,0,0,0,1
scenario-a,1,4,3,0,0,0,0,0,0,0,0,1
scenario-a,1,5,3,0,0,0,0,0,0,0,0,1
scenario-b,1,1,0,1,0,0,0,0,0,0,0,1
scenario-b,1,2,0,1,0,0,0,0,0,0,0,1
scenario-b,1,3,0,1,0,0,0,0,0,0,0,1
scenario-b,1,4,0,1,0,0,0,0,0,0,0,1
scenario-b,1,5,0,1,0,0,0,0,0,0,0,1
scenario-c,1,1,0,0,0,0,0,0,0,0,0,0
scenario-c,1,2,0,0,0,0,0,0,5,6,5,0
scenario-c,1,3,0,0,0,0,0,0,0,0,0,0
scenario-c,1,4,0,0,0,0,0,0,5,6,5,0
scenario-c,1,5,0,0,0,0,0,0,5,6,5,0
scenario-d,1,1,0,0,0,0,0,0,5,6,5,0
scenario-d,1,2,0,0,0,0,0,0,5,6,5,0
scenario-d,1,3,0,0,0,0,0,0,5,6,5,0
scenario-d,1,4,0,0,0,0,0,0,5,6,5,0
scenario-d,1,5,0,0,0,0,0,0,5,6,5,0
